STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,,
KS,Kansas,S,S4KS00150,,D.J.,Smith,"Smith, D.J.",,R,"15,288",5.78%,,,,,,,,,,,,
KS,Kansas,S,S4KS00168,,Alvin E.,Zahnter,"Zahnter, Alvin E.",,R,"14,164",5.36%,,,,,,,,,,,,
KS,Kansas,S,n/a,,,,,Party Votes:,R,"264,340",,,,,,,,,,,,,
KS,Kansas,S,S8KS00227,,Greg,Orman,"Orman, Greg",,IND,,,,,"368,372",42.53%,,,,,,,,
KS,Kansas,S,S4KS00143,,Randall,Batson,"Batson, Randall",,LIB,*,,,,"37,469",4.33%,,,,,,"*  The Libertarian Party nominated by convention on April 26, 2014.  Convention nominees are noted with an asterisk.",,
KS,Kansas,S,S4KS00135,,Chad,Taylor,"Taylor, Chad #",,D,"35,067",53.28%,,,#,,,,,,,# Chad Taylor withdrew after the primary election.,,
KS,Kansas,S,S0KS00166,,Patrick,Wiesner,"Wiesner, Patrick",,D,"30,752",46.72%,,,,,,,,,,,,
KS,Kansas,S,n/a,,,,,Party Votes:,D,"65,819",,,,,,,,,,,,,
KS,Kansas,S,n/a,,,,,Total State Votes:,,"330,159",,,,"866,191",,,,,,,,,
,,,n/a,,,,,,,,,,,,,,,,,,,,
KY,Kentucky,S,S2KY00012,(I),Mitch,McConnell,"McConnell, Mitch",,R,"213,753",61.44%,,,"806,787",56.19%,,,,,W,,,
KY,Kentucky,S,S4KY00109,,Matt,Bevin,"Bevin, Matt",,R,"125,787",36.16%,,,,,,,,,,,,
KY,Kentucky,S,S4KY00166,,Chris,Payne,"Payne, Chris",,R,"5,338",1.53%,,,,,,,,,,,,
KY,Kentucky,S,S4KY00125,,Brad,Copas,"Copas, Brad",,R,"3,024",0.87%,,,,,,,,,,,,
KY,Kentucky,S,n/a,,,,,Party Votes:,R,"347,902",,,,,,,,,,,,,
KY,Kentucky,S,S4KY00091,,Alison Lundergan ,Grimes,"Grimes, Alison Lundergan ",,D,"307,821",76.47%,,,"584,698",40.72%,,,,,,,,
KY,Kentucky,S,S4KY00141,,Gregory Brent,Leichty,"Leichty, Gregory Brent",,D,"32,602",8.10%,,,,,,,,,,,,
