1,STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
4215,TX,21,H2TX21078,,Richard,Mack,"Mack, Richard",,R,,,,,,,,,
4216,TX,21,H2TX21094,,Richard,Morgan,"Morgan, Richard",,R,,,,,,,,,
4217,TX,21,n/a,,,,,Party Votes:,R,,,,,,,,,
4218,TX,21,H2TX21086,,Candace E.,Duval,"Duval, Candace E.",,D,"109,326",35.40%,,,,,,,
4219,TX,21,H2TX21102,,Daniel,Boone,"Boone, Daniel",,D,,,,,,,,,
4220,TX,21,n/a,,,,,Party Votes:,D,,,,,,,,,
4221,TX,21,H2TX21110,,John-Henry,Liberty,"Liberty, John-Henry",,LIB,"12,524",4.05%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4222,TX,21,n/a,,,,,District Votes:,,"308,865",,,,,,,,
4223,TX,,n/a,,,,DISTRICT 22,,,,,,,,,,,
4224,TX,22,H8TX22107,(I),Pete,Olson,"Olson, Pete",,R,"160,668",64.03%,,,,,W,,
4225,TX,22,H2TX22100,,Barbara J.,Carlson,"Carlson, Barbara J.",,R,,,,,,,,,
4226,TX,22,n/a,,,,,Party Votes:,R,,,,,,,,,
4227,TX,22,H0TX22112,,Kesha,Rogers,"Rogers, Kesha",,D,"80,203",31.96%,,,,,,,
4228,TX,22,H2TX22092,,KP,George,"George, KP",,D,,,,,,,,,
4229,TX,22,n/a,,,,,Party Votes:,D,,,,,,,,,
4230,TX,22,H0TX22138,,Steven,Susman,"Susman, Steven",,LIB,"5,986",2.39%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4231,TX,22,H2TX22126,,Don,Cook,"Cook, Don",,GRE,"4,054",1.62%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4232,TX,22,n/a,,,,,District Votes:,,"250,911",,,,,,,,
4233,TX,,n/a,,,,DISTRICT 23,,,,,,,,,,,
4234,TX,23,H2TX23124,,Pete P.,Gallego,"Gallego, Pete P.",,D,"96,676",50.31%,,,,,W,,
4235,TX,23,H8TX28013,,Ciro D.,Rodriguez,"Rodriguez, Ciro D.",,D,,,,,,,,,
4236,TX,23,H2TX23116,,John M.,Bustamante,"Bustamante, John M.",,D,,,,,,,,,
4237,TX,23,n/a,,,,,Party Votes:,D,,,,,,,,,
4238,TX,23,H4TX28046,(I),"Francisco ""Quico""",Canseco,"Canseco, Francisco ""Quico""",,R,"87,547",45.56%,,,,,,,
4239,TX,23,n/a,,,,,Party Votes:,R,,,,,,,,,
4240,TX,23,H8TX21125,,Jeffrey C.,Blunt,"Blunt, Jeffrey C.",,LIB,"5,841",3.04%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4241,TX,23,H2TX23090,,Ed,Scharf,"Scharf, Ed",,GRE,"2,105",1.10%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4242,TX,23,n/a,,,,,District Votes:,,"192,169",,,,,,,,
4243,TX,,n/a,,,,DISTRICT 24,,,,,,,,,,,
4244,TX,24,H4TX24094,(I),Kenny E.,Marchant,"Marchant, Kenny E.",,R,"148,586",61.02%,,,,,W,,
4245,TX,24,H2TX00114,,Grant,Stinchfield,"Stinchfield, Grant",,R,,,,,,,,,
4246,TX,24,n/a,,,,,Party Votes:,R,,,,,,,,,
4247,TX,24,H2TX24122,,Tim,Rusk,"Rusk, Tim",,D,"87,645",36.00%,,,,,,,
4248,TX,24,n/a,,,,,Party Votes:,D,,,,,,,,,
4249,TX,24,H2TX24130,,John,Stathas,"Stathas, John",,LIB,"7,258",2.98%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4250,TX,24,n/a,,,,,District Votes:,,"243,489",,,,,,,,
4251,TX,,n/a,,,,DISTRICT 25,,,,,,,,,,,
4252,TX,25,H2TX33040,,Roger,Williams,"Williams, Roger",,R,"154,245",58.44%,,,,,W,,
4253,TX,25,H4TX11026,,Wes,Riddle,"Riddle, Wes",,R,,,,,,,,,
4254,TX,25,H2TX25251,,Justin,Hewlett,"Hewlett, Justin",,R,,,,,,,,,
4255,TX,25,H2TX25210,,Dave,Garrison,"Garrison, Dave",,R,,,,,,,,,
4256,TX,25,H2TX33032,,Michael,Williams,"Williams, Michael",,R,,,,,,,,,
4257,TX,25,H2TX26150,,Dianne,Costa,"Costa, Dianne",,R,,,,,,,,,
4258,TX,25,H2TX25228,,Brian,Matthews,"Matthews, Brian",,R,,,,,,,,,
4259,TX,25,H2TX25285,,Charlie,Holcomb,"Holcomb, Charlie",,R,,,,,,,,,
4260,TX,25,H2TX25236,,Chad,Wilbanks,"Wilbanks, Chad",,R,,,,,,,,,
4261,TX,25,H6TX12078,,Bill,Burch,"Burch, Bill",,R,,,,,,,,,
4262,TX,25,H2TX25277,,"James ""Patriot""",Dillon,"Dillon, James ""Patriot""",,R,,,,,,,,,
4263,TX,25,H2TX10097,,"Ernie, Jr.",Beltz,"Beltz, Ernie, Jr.",,R,,,,,,,,,
4264,TX,25,n/a,,,,,Party Votes:,R,,,,,,,,,
4265,TX,25,H2TX25269,,Elaine M.,Henderson,"Henderson, Elaine M.",,D,"98,827",37.44%,,,,,,,
4266,TX,25,n/a,,,,,Party Votes:,D,,,,,,,,,
4267,TX,25,H2TX25293,,Betsy,Dewey,"Dewey, Betsy",,LIB,"10,860",4.11%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4268,TX,25,n/a,,,,,District Votes:,,"263,932",,,,,,,,
4269,TX,,n/a,,,,DISTRICT 26,,,,,,,,,,,
4270,TX,26,H2TX26093,(I),Michael,Burgess,"Burgess, Michael",,R,"176,642",68.27%,,,,,W,,
4271,TX,26,n/a,,,,,Party Votes:,R,,,,,,,,,
4272,TX,26,H2TX26168,,David,Sanchez,"Sanchez, David",,D,"74,237",28.69%,,,,,,,
4273,TX,26,n/a,,,,,Party Votes:,D,,,,,,,,,
4274,TX,26,H0TX26105,,Mark,Boler,"Boler, Mark",,LIB,"7,844",3.03%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4275,TX,26,n/a,,,,,District Votes:,,"258,723",,,,,,,,
4276,TX,,n/a,,,,DISTRICT 27,,,,,,,,,,,
4277,TX,27,H0TX27061,(I),Blake,Farenthold,"Farenthold, Blake",,R,"120,684",56.75%,,,,,W,,
4278,TX,27,H2TX27240,,Trey,Roberts,"Roberts, Trey",,R,,,,,,,,,
4279,TX,27,H2TX27174,,Don Al,Middlebrook,"Middlebrook, Don Al",,R,,,,,,,,,
4280,TX,27,H2TX34063,,John,Grunwald,"Grunwald, John",,R,,,,,,,,,
4281,TX,27,n/a,,,,,Party Votes:,R,,,,,,,,,
4282,TX,27,H2TX27133,,Rose Meza,Harrison,"Harrison, Rose Meza",,D,"83,395",39.22%,,,,,,,
4283,TX,27,H2TX27224,,Jerry J.,Trevino,"Trevino, Jerry J.",,D,,,,,,,,,
4284,TX,27,H2TX27216,,Ronnie C.,McDonald,"McDonald, Ronnie C.",,D,,,,,,,,,
4285,TX,27,H2TX27232,,Murphy Alade,Junaid,"Junaid, Murphy Alade",,D,,,,,,,,,
4286,TX,27,n/a,,,,,Party Votes:,D,,,,,,,,,
4287,TX,27,H2TX27257,,Bret,Baldwin,"Baldwin, Bret",,IND,"5,354",2.52%,,,,,,,
4288,TX,27,H2TX27265,,Corrie,Byrd,"Byrd, Corrie",,LIB,"3,218",1.51%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4289,TX,27,n/a,,,,,District Votes:,,"212,651",,,,,,,,
4290,TX,,n/a,,,,DISTRICT 28,,,,,,,,,,,
4291,TX,28,H2TX23082,(I),Henry,Cuellar,"Cuellar, Henry",,D,"112,456",67.89%,,,,,W,,
4292,TX,28,n/a,,,,,Party Votes:,D,,,,,,,,,
4293,TX,28,H2TX28057,,William R.,Hayward,"Hayward, William R.",,R,"49,309",29.77%,,,,,,,
4294,TX,28,n/a,,,,,Party Votes:,R,,,,,,,,,
4295,TX,28,H2TX28065,,Patrick,Hisel,"Hisel, Patrick",,LIB,"2,473",1.49%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4296,TX,28,H2TX28073,,Michael D.,Cary,"Cary, Michael D.",,GRE,"1,407",0.85%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4297,TX,28,n/a,,,,,District Votes:,,"165,645",,,,,,,,
4298,TX,,n/a,,,,DISTRICT 29,,,,,,,,,,,
4299,TX,29,H2TX29030,(I),Gene,Green,"Green, Gene",,D,"86,053",90.00%,,,,,W,,
4300,TX,29,n/a,,,,,Party Votes:,D,,,,,,,,,
4301,TX,29,H2TX29105,,James,Stanczak,"Stanczak, James",,LIB,"4,996",5.23%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4302,TX,29,H2TX29113,,Maria,Selva,"Selva, Maria",,GRE,"4,562",4.77%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4303,TX,29,n/a,,,,,District Votes:,,"95,611",,,,,,,,
4304,TX,,n/a,,,,DISTRICT 30,,,,,,,,,,,
4305,TX,30,H2TX00015,(I),Eddie Bernice,Johnson,"Johnson, Eddie Bernice",,D,"171,059",78.82%,,,,,W,,
4306,TX,30,H2TX30079,,Barbara Mallory,Caraway,"Caraway, Barbara Mallory",,D,,,,,,,,,
4307,TX,30,H2TX30087,,Taj,Clayton,"Clayton, Taj",,D,,,,,,,,,
4308,TX,30,n/a,,,,,Party Votes:,D,,,,,,,,,
4309,TX,30,H2TX30095,,"Travis, Jr.",Washington,"Washington, Travis, Jr.",,R,"41,222",19.00%,,,,,,,
4310,TX,30,n/a,,,,,Party Votes:,R,,,,,,,,,
4311,TX,30,H2TX30103,,Ed,Rankin,"Rankin, Ed",,LIB,"4,733",2.18%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4312,TX,30,n/a,,,,,District Votes:,,"217,014",,,,,,,,
4313,TX,,n/a,,,,DISTRICT 31,,,,,,,,,,,
4314,TX,31,H2TX31044,(I),John R.,Carter,"Carter, John R.",,R,"145,348",61.28%,,,,,W,,
4315,TX,31,H2TX31127,,Eric,Klingemann,"Klingemann, Eric",,R,,,,,,,,,
4316,TX,31,n/a,,,,,Party Votes:,R,,,,,,,,,
4317,TX,31,H0TX21072,,Stephen M.,Wyman,"Wyman, Stephen M.",,D,"82,977",34.98%,,,,,,,
4318,TX,31,n/a,,,,,Party Votes:,D,,,,,,,,,
4319,TX,31,H2TX31135,,Ethan,Garofolo,"Garofolo, Ethan",,LIB,"8,862",3.74%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4320,TX,31,n/a,,,,,District Votes:,,"237,187",,,,,,,,
4321,TX,,n/a,,,,DISTRICT 32,,,,,,,,,,,
4322,TX,32,H2TX03126,(I),Pete,Sessions,"Sessions, Pete",,R,"146,653",58.28%,,,,,W,,
4323,TX,32,n/a,,,,,Party Votes:,R,,,,,,,,,
4324,TX,32,H2TX32067,,Katherine Savers,McGovern,"McGovern, Katherine Savers",,D,"99,288",39.46%,,,,,,,
4325,TX,32,H2TX32026,,Walter,Hofheinz,"Hofheinz, Walter",,D,,,,,,,,,
4326,TX,32,n/a,,,,,Party Votes:,D,,,,,,,,,
4327,TX,32,H2TX32075,,Seth Jewel,Hollist,"Hollist, Seth Jewel",,LIB,"5,695",2.26%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4328,TX,32,n/a,,,,,District Votes:,,"251,636",,,,,,,,
4329,TX,,n/a,,,,DISTRICT 33,,,,,,,,,,,
4330,TX,33,H2TX33073,,Marc,Veasey,"Veasey, Marc",,D,"85,114",72.51%,,,,,W,,
4331,TX,33,H2TX33131,,Domingo,Garcia,"Garcia, Domingo",,D,,,,,,,,,
4332,TX,33,H2TX33081,,Kathleen,Hicks,"Hicks, Kathleen",,D,,,,,,,,,
4333,TX,33,H2TX06152,,David,Alameel,"Alameel, David",,D,,,,,,,,,
4334,TX,33,H2TX33172,,Manuel,Valdez,"Valdez, Manuel",,D,,,,,,,,,
4335,TX,33,H2TX33180,,Steve,Salazar,"Salazar, Steve",,D,,,,,,,,,
4336,TX,33,H2TX33156,,Chrysta,Castañeda,"Castañeda, Chrysta",,D,,,,,,,,,
4337,TX,33,H2TX33164,,Jason E.,Roberts,"Roberts, Jason E.",,D,,,,,,,,,
4338,TX,33,H2TX06186,,Carlos,Quintanilla,"Quintanilla, Carlos",,D,,,,,,,,,
4339,TX,33,H2TX33206,,"Kyev P., Sr.",Tatum,"Tatum, Kyev P., Sr.",,D,,,,,,,,,
4340,TX,33,H2TX33198,,J. R.,Molina,"Molina, J. R.",,D,,,,,,,,,
4341,TX,33,n/a,,,,,Party Votes:,D,,,,,,,,,
4342,TX,33,H2TX33065,,Chuck,Bradley,"Bradley, Chuck",,R,"30,252",25.77%,,,,,,,
4343,TX,33,H2TX33214,,Charles,King,"King, Charles",,R,,,,,,,,,
4344,TX,33,n/a,,,,,Party Votes:,R,,,,,,,,,
4345,TX,33,H2TX33222,,Ed,Lindsay,"Lindsay, Ed",,GRE,"2,009",1.71%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4346,TX,33,n/a,,,,,District Votes:,,"117,375",,,,,,,,
4347,TX,,n/a,,,,DISTRICT 34,,,,,,,,,,,
4348,TX,34,H2TX27190,,Filemon,Vela,"Vela, Filemon",,D,"89,606",61.89%,,,,,W,,
4349,TX,34,H2TX27158,,Denise Saenz,Blanchard,"Blanchard, Denise Saenz",,D,,,,,,,,,
4350,TX,34,H2TX27166,,"Ramiro, Jr.",Garza,"Garza, Ramiro, Jr.",,D,,,,,,,,,
4351,TX,34,H2TX27182,,Salomon,Torres,"Torres, Salomon",,D,,,,,,,,,
4352,TX,34,H2TX27141,,Armando,Villalobos,"Villalobos, Armando",,D,,,,,,,,,
4353,TX,34,H2TX34030,,Anthony P.,Troiani,"Troiani, Anthony P.",,D,,,,,,,,,
4354,TX,34,H2TX34071,,Juan Angel,Guerra,"Guerra, Juan Angel",,D,,,,,,,,,
4355,TX,34,H2TX34014,,Elmo M.,Aycock,"Aycock, Elmo M.",,D,,,,,,,,,
4356,TX,34,n/a,,,,,Party Votes:,D,,,,,,,,,
4357,TX,34,n/a,,,,,,,,,,,,,,,
4358,TX,34,H0TX27053,,Jessica Puente,Bradshaw,"Bradshaw, Jessica Puente",,R,"52,448",36.23%,,,,,,,
4359,TX,34,H2TX34055,,Adela,Garza,"Garza, Adela",,R,,,,,,,,,
4360,TX,34,H4TX15076,,Paul B.,Haring,"Haring, Paul B.",,R,,,,,,,,,
4361,TX,34,n/a,,,,,Party Votes:,R,,,,,,,,,
4362,TX,34,H2TX34089,,"Steven ""Ziggy""",Shanklin,"Shanklin, Steven ""Ziggy""",,LIB,"2,724",1.88%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4363,TX,34,n/a,,,,,District Votes:,,"144,778",,,,,,,,
4364,TX,,n/a,,,,DISTRICT 35,,,,,,,,,,,
4365,TX,35,H4TX10028,(I),Lloyd,Doggett,"Doggett, Lloyd",,D,"105,626",63.95%,,,,,W,,
4366,TX,35,H2TX35037,,Sylvia,Romo,"Romo, Sylvia",,D,,,,,,,,,
4367,TX,35,H2TX35045,,Maria Luisa,Alvarado,"Alvarado, Maria Luisa",,D,,,,,,,,,
4368,TX,35,n/a,,,,,Party Votes:,D,,,,,,,,,
4369,TX,35,H2TX35029,,Susan,Narvaiz,"Narvaiz, Susan",,R,"52,894",32.02%,,,,,,,
4370,TX,35,H2TX35078,,Rob,Roark,"Roark, Rob",,R,,,,,,,,,
4371,TX,35,H2TX35060,,John,Yoggerst,"Yoggerst, John",,R,,,,,,,,,
4372,TX,35,n/a,,,,,Party Votes:,R,,,,,,,,,
4373,TX,35,H8TX28203,,Ross Lynn,Leone,"Leone, Ross Lynn",,LIB,"4,082",2.47%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4374,TX,35,H2TX35094,,Meghan,Owen,"Owen, Meghan",,GRE,"2,540",1.54%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4375,TX,35,H2TX35086,,Simon,Alvarado,"Alvarado, Simon",,W,37,0.02%,,,,,,,
4376,TX,35,n/a,,,,,District Votes:,,"165,179",,,,,,,,
4377,TX,,n/a,,,,DISTRICT 36,,,,,,,,,,,
4378,TX,36,H6TX22143,,Steve,Stockman,"Stockman, Steve",,R,"165,405",70.74%,,,,,W,,
4379,TX,36,H2TX36084,,Stephen,Takach,"Takach, Stephen",,R,,,,,,,,,
4380,TX,36,H2TX36043,,Mike,Jackson,"Jackson, Mike",,R,,,,,,,,,
4381,TX,36,H2TX36035,,Jim,Engstrand,"Engstrand, Jim",,R,,,,,,,,,
4382,TX,36,H2TX36092,,Ky D.,Griffin,"Griffin, Ky D.",,R,,,,,,,,,
4383,TX,36,H0TX18235,,"Charles B. ""Chuck""",Meyer,"Meyer, Charles B. ""Chuck""",,R,,,,,,,,,
4384,TX,36,H2TX36068,,Kim,Morrell,"Morrell, Kim",,R,,,,,,,,,
4385,TX,36,H2TX36050,,Lois Dickson,Myers,"Myers, Lois Dickson",,R,,,,,,,,,
4386,TX,36,H2TX36076,,Jerry L.,Doyle,"Doyle, Jerry L.",,R,,,,,,,,,
4387,TX,36,H2TX36126,,Keith,Casey,"Casey, Keith",,R,,,,,,,,,
4388,TX,36,H2TX36100,,Daniel,Whitton,"Whitton, Daniel",,R,,,,,,,,,
4389,TX,36,H2TX36118,,Tim,Wintill,"Wintill, Tim",,R,,,,,,,,,
4390,TX,36,n/a,,,,,Party Votes:,R,,,,,,,,,
4391,TX,36,H2TX22118,,Max,Martin,"Martin, Max",,D,"62,143",26.58%,,,,,,,
4392,TX,36,n/a,,,,,Party Votes:,D,,,,,,,,,
4393,TX,36,H2TX36134,,Michael K.,Cole,"Cole, Michael K.",,LIB,"6,284",2.69%,,,,,,"* In Texas, the Green and Libertarian Parties nominate by convention. The convention dates are March 17, 2012, for single county U.S. House Districts 2, 3, 7, 16, 18, 20, 29 and 30; and March 24, 2012 for multi-county U.S. House Districts 1, 4-6, 8-15, 17, 19, 21-28, 31-36.  Convention nominees are noted with an asterisk.",
4394,TX,36,n/a,,,,,District Votes:,,"233,832",,,,,,,,
4395,TX,,n/a,,,,,,,,,,,,,,,
4396,TX,H,n/a,,,,,Total State Votes:,,"7,664,208",,,,,,,,
4397,TX,,n/a,,,,,,,,,,,,,,,
4398,TX,S,S2TX00312,,Ted,Cruz,"Cruz, Ted",,R,"4,440,137",56.46%,,,,,W,,
4399,TX,S,S2TX00361,,David,Dewhurst,"Dewhurst, David",,R,,,,,,,,,
4400,TX,S,S2TX00338,,Tom,Leppert,"Leppert, Tom",,R,,,,,,,,,
4401,TX,S,S2TX00411,,Craig,James,"James, Craig",,R,,,,,,,,,
4402,TX,S,S2TX00320,,Glenn,Addison,"Addison, Glenn",,R,,,,,,,,,
4403,TX,S,S0TX00217,,Lela,Pittenger,"Pittenger, Lela",,R,,,,,,,,,
4404,TX,S,S2TX00478,,Ben,Gambini,"Gambini, Ben",,R,,,,,,,,,
4405,TX,S,S2TX00387,,Curt,Cleaver,"Cleaver, Curt",,R,,,,,,,,,
4406,TX,S,S2TX00460,,Joe,Agris,"Agris, Joe",,R,,,,,,,,,
4407,TX,S,n/a,,,,,Party Votes:,R,,,,,,,,,
4408,TX,S,n/a,,,,,,,,,,,,,,,
4409,TX,S,S2TX00429,,Paul,Sadler,"Sadler, Paul",,D,"3,194,927",40.62%,,,,,,,
4410,TX,S,S2TX00452,,Grady,Yarbrough,"Yarbrough, Grady",,D,,,,,,,,,
4411,TX,S,S2TX00403,,Addie Dainell,Allen,"Allen, Addie Dainell",,D,,,,,,,,,
4412,TX,S,S2TX00304,,Sean,Hubbard,"Hubbard, Sean",,D,,,,,,,,,
4413,TX,S,n/a,,,,,Party Votes:,D,,,,,,,,,
4414,TX,S,n/a,,,,,,,,,,,,,,,
4415,TX,S,S2TX00502,,John Jay,Myers,"Myers, John Jay",,LIB,"162,354",2.06%,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4416,TX,S,S2TX00494,,Robert D.,Butler,"Butler, Robert D.",,LIB,,,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4417,TX,S,S2TX00528,,Wayne,Huffman,"Huffman, Wayne",,LIB,,,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4418,TX,S,S2TX00254,,Scott,Jameson,"Jameson, Scott",,LIB,,,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4419,TX,S,S2TX00536,,S. Gopal,Raju,"Raju, S. Gopal",,LIB,,,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4420,TX,S,S8TX00244,,Jon,Roland,"Roland, Jon",,LIB,,,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4421,TX,S,S2TX00486,,David B.,Collins,"Collins, David B.",,GRE,"67,404",0.86%,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4422,TX,S,S2TX00510,,Victoria Ann,Zabaras,"Zabaras, Victoria Ann",,GRE,,,,,,,,"* In Texas, the Green and Libertarian Parties nominated by convention on June 9, 2012, for U.S. Senate.   Convention nominees are noted with an asterisk.",
4423,TX,S,n/a,,,,,Total State Votes:,,"7,864,822",,,,,,,,
4424,,,n/a,,,,,,,,,,,,,,,
4425,UT,,n/a,,,,DISTRICT 1,,,,,,,,,,"*  Conventions are held by the political parties prior to the primary election.  A candidate who receives more than 60% of the vote is the nominee.  If no candidate achieves that majority, a primary election is held between the two candidates receiving the highest number of votes.  The Constitution Party convention was held on April 7, 2012, the Democratic, Republican and Libertarian conventions were held on April 21, 2012, and the convention date for the Utah Justice Party was April 28, 2012.  Convention nominees are noted with an asterisk.  The convention vote totals listed on the next tab were obtained from the state parties.  In some districts, there were multiple rounds of balloting.",
