1,STATE ABBREVIATION,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
196,AZ,S,S2AZ00299,,Marc,Victor,"Victor, Marc",,W(LIB)/LIB,"102,109",4.55%,,,,,,,
197,AZ,S,n/a,,,,,Party Votes:,LIB,,,,,,,,,
198,AZ,S,S2AZ00307,,Stephen,Watts,"Watts, Stephen",,W,290,0.01%,,,,,,,
199,AZ,S,n/a,,Don,Manspeaker,"Manspeaker, Don",,W,24,0.00%,,,,,,,
200,AZ,S,n/a,,,,,Total State Votes:,,"2,243,422",,,,,,,,
201,,,n/a,,,,,,,,,,,,,,,
202,AR,,n/a,,,,DISTRICT 1,,,,,,,,,,,
203,AR,01,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,"138,800",56.23%,,,,,W,,
204,AR,01,H2AR01071,,Scott,Ellington,"Ellington, Scott",,D,"96,601",39.13%,,,,,,,
205,AR,01,H2AR01055,,Clark M.,Hall,"Hall, Clark M.",,D,,,,,,,,,
206,AR,01,H2AR01063,,Gary,Latanich,"Latanich, Gary",,D,,,,,,,,,
207,AR,01,n/a,,,,,Party Votes:,D,,,,,,,,,
208,AR,01,H2AR01089,,Jessica,Paxton,"Paxton, Jessica",,LIB,"6,427",2.60%,,,,,,,
209,AR,01,H2AR01097,,Jacob,Holloway,"Holloway, Jacob",,GRE,"5,015",2.03%,,,,,,,
210,AR,01,n/a,,,,,District Votes:,,"246,843",,,,,,,,
211,AR,,n/a,,,,DISTRICT 2,,,,,,,,,,,
212,AR,02,H0AR02107,(I),Tim ,Griffin,"Griffin, Tim ",,R,"158,175",55.19%,,,,,W,,
213,AR,02,H2AR02053,,Herb,Rule,"Rule, Herb",,D,"113,156",39.48%,,,,,,,
214,AR,02,H2AR02079,,Barbara,Ward,"Ward, Barbara",,GRE,"8,566",2.99%,,,,,,,
215,AR,02,H2AR02061,,Chris,Hayes,"Hayes, Chris",,LIB,"6,701",2.34%,,,,,,,
216,AR,02,n/a,,,,,District Votes:,,"286,598",,,,,,,,
217,AR,,n/a,,,,DISTRICT 3,,,,,,,,,,,
218,AR,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,"186,467",75.90%,,,,,W,,
219,AR,03,H2AR03242,,Ken,Aden,"Aden, Ken",,D,,,,,,,,,
220,AR,03,H2AR03259,,Rebekah,Kennedy,"Kennedy, Rebekah",,GRE,"39,318",16.01%,,,,,,,
221,AR,03,H2AR03267,,David,Pangrac,"Pangrac, David",,LIB,"19,875",8.09%,,,,,,,
222,AR,03,n/a,,,,,District Votes:,,"245,660",,,,,,,,
223,AR,,n/a,,,,DISTRICT 4,,,,,,,,,,,
224,AR,04,H2AR04083,,Tom,Cotton,"Cotton, Tom",,R,"154,149",59.53%,,,,,W,,
225,AR,04,H0AR04079,,Beth Anne,Rankin,"Rankin, Beth Anne",,R,,,,,,,,,
226,AR,04,H2AR04117,,John ,Cowart,"Cowart, John ",,R,,,,,,,,,
227,AR,04,n/a,,,,,Party Votes:,R,,,,,,,,,
228,AR,04,H2AR04109,,Gene,Jeffress,"Jeffress, Gene",,D,"95,013",36.69%,,,,,,,
229,AR,04,H2AR04133,,Q. Byrum,Hurst,"Hurst, Q. Byrum",,D,,,,,,,,,
230,AR,04,H2AR04125,,DC,Morrison,"Morrison, DC",,D,,,,,,,,,
231,AR,04,n/a,,,,,Party Votes:,D,,,,,,,,,
232,AR,04,H2AR04141,,Bobby,Tullis,"Tullis, Bobby",,LIB,"4,984",1.92%,,,,,,,
233,AR,04,H8AR04098,,J. Joshua,Drake,"Drake, J. Joshua",,GRE,"4,807",1.86%,,,,,,,
234,AR,04,n/a,,,,,,,,,,,,,,,
235,AR,04,n/a,,,,,District Votes:,,"258,953",,,,,,,,
236,AR,,n/a,,,,,,,,,,,,,,,
237,AR,H,n/a,,,,,Total State Votes:,,"1,038,054",,,,,,,,
238,,,n/a,,,,,,,,,,,,,,,
239,CA,,n/a,,,,DISTRICT 1,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",
240,CA,01,H2CA02142,,Doug,La Malfa,"La Malfa, Doug",,R,"168,827",57.38%,,,,,W,,
241,CA,01,H0CA02138,,Jim,Reed,"Reed, Jim",,D,"125,386",42.62%,,,,,,,
242,CA,01,H2CA01110,,Sam ,Aanestad,"Aanestad, Sam ",,R,,,,,,,,,
243,CA,01,H2CA01128,,Michael ,Dacquisto,"Dacquisto, Michael ",,R,,,,,,,,,
244,CA,01,H0CA02120,,Pete,Stiglich,"Stiglich, Pete",,R,,,,,,,,,
245,CA,01,H4CA03054,,Nathan ,Arrowsmith,"Arrowsmith, Nathan ",,D,,,,,,,,,
246,CA,01,H2CA01151,,Gary Allen,Oxley,"Oxley, Gary Allen",,NOP,,,,,,,,,
247,CA,01,H2CA01136,,Gregory ,Cheadle,"Cheadle, Gregory ",,R,,,,,,,,,
248,CA,01,n/a,,,,,District Votes:,,"294,213",,,,,,,,
249,CA,,n/a,,,,DISTRICT 2,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",
250,CA,02,H2CA06259,,Jared ,Huffman,"Huffman, Jared ",,D,"226,216",71.24%,,,,,W,,
251,CA,02,H0CA06121,,Daniel W.,Roberts,"Roberts, Daniel W.",,R,"91,310",28.76%,,,,,,,
252,CA,02,H2CA06267,,Norman ,Solomon,"Solomon, Norman ",,D,,,,,,,,,
253,CA,02,H2CA02100,,Stacey ,Lawson,"Lawson, Stacey ",,D,,,,,,,,,
254,CA,02,H2CA06275,,Susan L. ,Adams,"Adams, Susan L. ",,D,,,,,,,,,
255,CA,02,H6CA06193,,Mike ,Halliwell,"Halliwell, Mike ",,R,,,,,,,,,
256,CA,02,H2CA02167,,Brooke ,Clarke,"Clarke, Brooke ",,NOP,,,,,,,,,
257,CA,02,H2CA06283,,Tiffany ,Renée,"Renée, Tiffany ",,D,,,,,,,,,
258,CA,02,H2CA02175,,John,Lewallen,"Lewallen, John",,NOP,,,,,,,,,
259,CA,02,H2CA02126,,William L. ,Courtney,"Courtney, William L. ",,D,,,,,,,,,
260,CA,02,H2CA02118,,Andy ,Caffrey,"Caffrey, Andy ",,D,,,,,,,,,
261,CA,02,H2CA02159,,Larry ,Fritzlan,"Fritzlan, Larry ",,D,,,,,,,,,
262,CA,02,n/a,,,,,District Votes:,,"317,526",,,,,,,,
263,CA,,n/a,,,,DISTRICT 3,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",
264,CA,03,H0CA10149,(I),John ,Garamendi,"Garamendi, John ",,D,"126,882",54.23%,,,,,W,,
265,CA,03,H2CA03090,,Kim ,Vann,"Vann, Kim ",,R,"107,086",45.77%,,,,,,,
266,CA,03,H0CA07103,,Rick ,Tubbs,"Tubbs, Rick ",,R,,,,,,,,,
267,CA,03,H2CA03108,,Tony ,Carlos,"Carlos, Tony ",,R,,,,,,,,,
268,CA,03,H0CA00090,,Eugene ,Ray,"Ray, Eugene ",,R,,,,,,,,,
269,CA,03,n/a,,,,,District Votes:,,"233,968",,,,,,,,
270,CA,,n/a,,,,DISTRICT 4,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",
271,CA,04,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,"197,803",61.11%,,,,,W,,
272,CA,04,H2CA04114,,Jack ,Uppal,"Uppal, Jack ",,D,"125,885",38.89%,,,,,,,
273,CA,04,n/a,,,,,District Votes:,,"323,688",,,,,,,,
274,CA,,n/a,,,,DISTRICT 5,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",
275,CA,05,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,D,"202,872",74.47%,,,,,W,,
276,CA,05,H2CA05095,,Randy,Loftin,"Loftin, Randy",,R,"69,545",25.53%,,,,,,,
277,CA,05,H2CA05087,,Stewart  John,Cilley,"Cilley, Stewart  John",,R,,,,,,,,,
278,CA,05,n/a,,,,,District Votes:,,"272,417",,,,,,,,
279,CA,,n/a,,,,DISTRICT 6,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",
